RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,costo_edicion,competencia,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
1,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,1.0,,0,OPEN_LOOP,24,387,0,0,0,11,11,13,0,0.0,1.0,240.0,0.0,240.0
0,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,1.0,,0,OPEN_LOOP,24,400,0,0,0,0,0,0,0,0.0,0.0,240.0,0.0,240.0
3,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,1.0,,0,OPEN_LOOP,21,376,0,0,0,49,49,24,0,0.0,1.0,210.0,0.0,210.0
2,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,1.0,,0,OPEN_LOOP,21,384,0,0,0,20,20,16,0,0.0,1.0,210.0,0.0,210.0
5,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0,1.0,,0,CLOSED_LOOP,24,400,0,0,0,0,0,0,0,0.0,0.0,240.0,0.0,240.0
4,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0,1.0,,0,OPEN_LOOP,21,366,0,0,0,65,65,34,0,0.0,1.0,210.0,0.0,210.0
6,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,0,1.0,,0,CLOSED_LOOP,21,395,0,5,0,5,5,5,0,0.0,1.0,210.0,0.0,210.0
10,1,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,1.0,,1,OPEN_LOOP,30,400,0,0,0,0,0,0,0,0.0,0.0,300.0,0.0,300.0
12,1,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,1.0,,1,OPEN_LOOP,27,384,0,0,0,24,24,16,0,0.0,1.0,270.0,0.0,270.0
15,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0,1.0,,1,CLOSED_LOOP,30,400,0,0,0,0,0,0,0,0.0,0.0,300.0,0.0,300.0
8,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0,1.0,,0,CLOSED_LOOP,24,395,0,48,8,41,40,5,0,0.024390243902439046,1.0,240.0,0.0,240.0
16,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,0,1.0,,1,CLOSED_LOOP,27,394,0,10,1,9,9,6,0,0.0,1.0,270.0,0.0,270.0
14,1,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0,1.0,,1,OPEN_LOOP,21,349,0,0,0,77,76,51,0,0.012987012987012991,1.0,210.0,0.0,210.0
13,1,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,1.0,,1,OPEN_LOOP,27,369,0,0,0,53,53,31,0,0.0,1.0,270.0,0.0,270.0
11,1,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,1.0,,1,OPEN_LOOP,27,390,0,0,0,11,10,10,0,0.09090909090909094,1.0,270.0,0.0,270.0
20,2,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,1.0,,2,OPEN_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
7,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0,1.0,,0,CLOSED_LOOP,24,398,0,25,3,22,22,2,0,0.0,1.0,240.0,0.0,240.0
17,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0,1.0,,1,CLOSED_LOOP,27,395,0,14,2,12,12,5,0,0.0,1.0,270.0,0.0,270.0
9,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0,1.0,,0,CLOSED_LOOP,24,400,0,113,54,59,59,0,0,0.0,1.0,240.0,0.0,240.0
22,2,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,1.0,,2,OPEN_LOOP,21,384,0,0,0,27,27,16,0,0.0,1.0,210.0,0.0,210.0
23,2,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,1.0,,2,OPEN_LOOP,21,371,0,0,0,54,54,29,0,0.0,1.0,210.0,0.0,210.0
25,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0,1.0,,2,CLOSED_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
26,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,0,1.0,,2,CLOSED_LOOP,27,395,0,12,0,12,12,5,0,0.0,1.0,270.0,0.0,270.0
18,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0,1.0,,1,CLOSED_LOOP,27,398,0,62,18,45,44,2,0,0.022222222222222254,1.0,270.0,0.0,270.0
21,2,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,1.0,,2,OPEN_LOOP,24,389,0,0,0,10,10,11,0,0.0,1.0,240.0,0.0,240.0
30,3,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,1.0,,3,OPEN_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
31,3,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,1.0,,3,OPEN_LOOP,27,387,0,0,0,12,12,13,0,0.0,1.0,270.0,0.0,270.0
24,2,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0,1.0,,2,OPEN_LOOP,18,349,0,0,0,82,81,51,0,0.012195121951219523,1.0,180.0,0.0,180.0
33,3,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,1.0,,3,OPEN_LOOP,27,369,0,0,0,46,46,31,0,0.0,1.0,270.0,0.0,270.0
28,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0,1.0,,2,CLOSED_LOOP,24,397,0,54,13,41,41,3,0,0.0,1.0,240.0,0.0,240.0
19,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0,1.0,,1,CLOSED_LOOP,27,400,0,114,48,66,66,0,0,0.0,1.0,270.0,0.0,270.0
32,3,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,1.0,,3,OPEN_LOOP,27,384,0,0,0,21,21,16,0,0.0,1.0,270.0,0.0,270.0
27,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0,1.0,,2,CLOSED_LOOP,27,397,0,25,2,23,23,3,0,0.0,1.0,270.0,0.0,270.0
34,3,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0,1.0,,3,OPEN_LOOP,21,351,0,0,0,72,72,49,0,0.0,1.0,210.0,0.0,210.0
40,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,1.0,,4,OPEN_LOOP,24,400,0,0,0,0,0,0,0,0.0,0.0,240.0,0.0,240.0
42,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,1.0,,4,OPEN_LOOP,24,382,0,0,0,17,17,18,0,0.0,1.0,240.0,0.0,240.0
36,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,0,1.0,,3,CLOSED_LOOP,27,395,0,12,0,12,12,5,0,0.0,1.0,270.0,0.0,270.0
35,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0,1.0,,3,CLOSED_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
41,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,1.0,,4,OPEN_LOOP,24,388,0,0,0,8,8,12,0,0.0,1.0,240.0,0.0,240.0
29,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0,1.0,,2,CLOSED_LOOP,24,400,0,127,69,58,58,0,0,0.0,1.0,240.0,0.0,240.0
45,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0,1.0,,4,CLOSED_LOOP,24,400,0,0,0,0,0,0,0,0.0,0.0,240.0,0.0,240.0
39,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0,1.0,,3,CLOSED_LOOP,27,400,0,131,66,65,65,0,0,0.0,1.0,270.0,0.0,270.0
43,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,1.0,,4,OPEN_LOOP,21,376,0,0,0,52,52,24,0,0.0,1.0,210.0,0.0,210.0
37,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0,1.0,,3,CLOSED_LOOP,30,396,0,30,2,28,28,4,0,0.0,1.0,300.0,0.0,300.0
38,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0,1.0,,3,CLOSED_LOOP,30,398,0,61,16,45,45,2,0,0.0,1.0,300.0,0.0,300.0
50,5,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,1.0,,5,OPEN_LOOP,30,400,0,0,0,0,0,0,0,0.0,0.0,300.0,0.0,300.0
47,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0,1.0,,4,CLOSED_LOOP,24,396,0,18,1,17,17,4,0,0.0,1.0,240.0,0.0,240.0
44,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0,1.0,,4,OPEN_LOOP,18,363,0,0,0,68,68,37,0,0.0,1.0,180.0,0.0,180.0
51,5,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,1.0,,5,OPEN_LOOP,27,389,0,0,0,15,14,11,0,0.06666666666666665,1.0,270.0,0.0,270.0
53,5,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,1.0,,5,OPEN_LOOP,27,368,0,0,0,49,49,32,0,0.0,1.0,270.0,0.0,270.0
52,5,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,1.0,,5,OPEN_LOOP,24,385,0,0,0,21,21,15,0,0.0,1.0,240.0,0.0,240.0
48,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0,1.0,,4,CLOSED_LOOP,24,399,0,57,13,44,44,1,0,0.0,1.0,240.0,0.0,240.0
