RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
1755,27,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,1.0,5,3,27,COLD_RESTART,2,173,199,19,62,52,51,6,4,0.019230769230769273,1.0588235294117647,20.0,0.0,20.0
1768,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0.5,5,3,27,CLOSED_LOOP,4,338,52,4,21,17,17,3,0,0.0,1.411764705882353,40.0,0.0,40.0
1761,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.7,5,3,27,CLOSED_LOOP,16,400,0,0,0,0,0,0,0,0.0,0.0,160.0,0.0,160.0
1762,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.9,5,3,27,CLOSED_LOOP,16,400,0,0,0,0,0,0,0,0.0,0.0,160.0,0.0,160.0
1769,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0.7,5,3,27,CLOSED_LOOP,4,243,135,16,43,37,35,4,0,0.05405405405405406,2.742857142857143,40.0,0.0,40.0
1771,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,1.0,5,3,27,CLOSED_LOOP,7,272,107,12,32,31,29,6,0,0.06451612903225812,2.1379310344827585,70.0,0.0,70.0
1758,27,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,0.9,5,3,27,COLD_RESTART,1,41,332,24,205,85,84,2,0,0.0117647058823529,1.0,10.0,0.0,10.0
1776,27,400.0,15,8,3,0.15,400,GOVERNED,0.0,0.5,5,3,27,GOVERNED,16,400,0,0,0,0,0,0,0,0.0,0.0,160.0,0.0,160.0
1764,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0.5,5,3,27,CLOSED_LOOP,7,371,25,4,1,5,5,0,0,0.0,2.8,70.0,0.0,70.0
1775,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,1.0,5,3,27,CLOSED_LOOP,2,111,261,14,156,76,76,9,0,0.0,1.0263157894736843,20.0,0.0,20.0
