RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,radio,competencia,costo_edicion,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
692,14,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,,0.9,5,14,COLD_RESTART,0,56,319,21,138,78,78,3,10,0.0,1.0,0.0,0.0,0.0
703,14,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3.0,0.9,5,14,CLOSED_LOOP,5,348,47,3,17,12,12,1,0,0.0,1.5,50.0,0.0,50.0
711,14,400.0,15,8,3,0.15,400,GOVERNED,0.1,1.0,0.9,5,14,GOVERNED,3,400,0,0,0,0,0,0,0,0.0,0.0,30.0,0.0,30.0
706,14,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3.0,0.9,5,14,CLOSED_LOOP,0,49,330,12,211,94,94,6,0,0.0,1.0212765957446808,0.0,0.0,0.0
712,14,400.0,15,8,3,0.15,400,GOVERNED,0.1,3.0,0.9,5,14,GOVERNED,4,362,33,4,9,8,8,1,0,0.0,2.625,40.0,0.0,40.0
710,14,400.0,15,8,3,0.15,400,GOVERNED,0.0,,0.9,5,14,GOVERNED,24,400,0,0,0,0,0,0,0,0.0,0.0,240.0,0.0,240.0
704,14,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,,0.9,5,14,CLOSED_LOOP,6,92,287,20,113,71,71,0,0,0.0,1.0,60.0,0.0,60.0
709,14,400.0,15,8,3,0.15,400,GOVERNED,0.0,3.0,0.9,5,14,GOVERNED,14,400,0,0,0,0,0,0,0,0.0,0.0,140.0,0.0,140.0
717,14,400.0,15,8,3,0.15,400,GOVERNED,0.5,1.0,0.9,5,14,GOVERNED,4,330,55,4,18,20,19,7,0,0.050000000000000044,1.7894736842105263,40.0,0.0,40.0
714,14,400.0,15,8,3,0.15,400,GOVERNED,0.25,1.0,0.9,5,14,GOVERNED,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
