RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,costo_edicion,competencia,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
466,3,400.0,15,8,3,0.15,400,GOVERNED,0.05,5,0.9,3,3,GOVERNED,12,381,15,3,0,4,4,1,0,0.0,4.25,120.0,0.0,120.0
463,3,400.0,15,8,3,0.15,400,GOVERNED,0.0,10,0.9,3,3,GOVERNED,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
464,3,400.0,15,8,3,0.15,400,GOVERNED,0.05,0,0.9,3,3,GOVERNED,13,399,0,7,0,7,6,1,0,0.1428571428571429,5.166666666666667,130.0,0.0,130.0
465,3,400.0,15,8,3,0.15,400,GOVERNED,0.05,2,0.9,3,3,GOVERNED,14,388,8,4,0,5,4,0,0,0.19999999999999996,3.75,140.0,0.0,140.0
469,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,2,0.9,3,3,GOVERNED,12,365,24,10,2,13,13,1,0,0.0,2.3076923076923075,120.0,0.0,120.0
472,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,0,0.9,3,3,GOVERNED,10,399,0,13,2,13,13,1,0,0.0,2.6923076923076925,100.0,0.0,100.0
459,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,10,0.9,3,3,CLOSED_LOOP,0,5,390,4,203,79,78,0,0,0.012658227848101222,1.0,0.0,0.0,0.0
455,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,10,0.9,3,3,CLOSED_LOOP,2,156,229,6,70,42,42,5,0,0.0,1.1428571428571428,20.0,0.0,20.0
468,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,0,0.9,3,3,GOVERNED,7,399,0,4,0,6,5,1,0,0.16666666666666663,4.2,70.0,0.0,70.0
473,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,2,0.9,3,3,GOVERNED,7,352,34,13,16,19,17,1,0,0.10526315789473684,2.1176470588235294,70.0,0.0,70.0
437,3,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,2,0.9,3,3,COLD_RESTART,0,62,266,66,245,101,101,5,10,0.0,1.0297029702970297,0.0,0.0,0.0
460,3,400.0,15,8,3,0.15,400,GOVERNED,0.0,0,0.9,3,3,GOVERNED,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
474,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,5,0.9,3,3,GOVERNED,10,348,40,7,7,13,12,4,0,0.07692307692307687,1.9166666666666667,100.0,0.0,100.0
477,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,2,0.9,3,3,GOVERNED,4,191,164,35,149,65,64,6,0,0.01538461538461533,1.046875,40.0,0.0,40.0
471,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,10,0.9,3,3,GOVERNED,7,329,63,4,8,11,11,3,0,0.0,1.1818181818181819,70.0,0.0,70.0
481,4,400.0,15,8,3,0.15,400,REFLEX,0.0,2,0.9,3,4,REFLEX,4,402,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
479,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,10,0.9,3,3,GOVERNED,0,5,390,4,203,79,78,0,0,0.012658227848101222,1.0,0.0,0.0,0.0
483,4,400.0,15,8,3,0.15,400,REFLEX,0.0,10,0.9,3,4,REFLEX,4,402,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
484,4,400.0,15,8,3,0.15,400,REFLEX,0.05,0,0.9,3,4,REFLEX,6,405,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
482,4,400.0,15,8,3,0.15,400,REFLEX,0.0,5,0.9,3,4,REFLEX,4,402,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
485,4,400.0,15,8,3,0.15,400,REFLEX,0.05,2,0.9,3,4,REFLEX,6,405,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
476,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,0,0.9,3,3,GOVERNED,11,399,0,18,4,17,15,1,0,0.11764705882352944,1.2,110.0,0.0,110.0
487,4,400.0,15,8,3,0.15,400,REFLEX,0.05,10,0.9,3,4,REFLEX,6,405,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
467,3,400.0,15,8,3,0.15,400,GOVERNED,0.05,10,0.9,3,3,GOVERNED,11,356,39,3,1,6,5,1,0,0.16666666666666663,5.0,110.0,0.0,110.0
488,4,400.0,15,8,3,0.15,400,REFLEX,0.1,0,0.9,3,4,REFLEX,7,404,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
480,4,400.0,15,8,3,0.15,400,REFLEX,0.0,0,0.9,3,4,REFLEX,4,402,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
457,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,2,0.9,3,3,CLOSED_LOOP,4,191,164,35,149,65,64,6,0,0.01538461538461533,1.046875,40.0,0.0,40.0
486,4,400.0,15,8,3,0.15,400,REFLEX,0.05,5,0.9,3,4,REFLEX,6,405,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
491,4,400.0,15,8,3,0.15,400,REFLEX,0.1,10,0.9,3,4,REFLEX,7,404,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
490,4,400.0,15,8,3,0.15,400,REFLEX,0.1,5,0.9,3,4,REFLEX,7,404,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
489,4,400.0,15,8,3,0.15,400,REFLEX,0.1,2,0.9,3,4,REFLEX,7,404,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
478,3,400.0,15,8,3,0.15,400,GOVERNED,0.5,5,0.9,3,3,GOVERNED,0,35,343,17,239,88,88,4,0,0.0,1.0340909090909092,0.0,0.0,0.0
494,4,400.0,15,8,3,0.15,400,REFLEX,0.25,5,0.9,3,4,REFLEX,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
495,4,400.0,15,8,3,0.15,400,REFLEX,0.25,10,0.9,3,4,REFLEX,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
475,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,10,0.9,3,3,GOVERNED,2,156,229,6,70,42,42,5,0,0.0,1.1428571428571428,20.0,0.0,20.0
470,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,5,0.9,3,3,GOVERNED,7,323,68,8,18,18,17,1,0,0.05555555555555558,2.176470588235294,70.0,0.0,70.0
500,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,0,0.9,3,4,MODEL_BASED,13,405,0,0,0,0,0,0,0,0.0,0.0,130.0,0.0,130.0
493,4,400.0,15,8,3,0.15,400,REFLEX,0.25,2,0.9,3,4,REFLEX,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
498,4,400.0,15,8,3,0.15,400,REFLEX,0.5,5,0.9,3,4,REFLEX,10,407,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
502,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,5,0.9,3,4,MODEL_BASED,13,405,0,0,0,0,0,0,0,0.0,0.0,130.0,0.0,130.0
503,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,10,0.9,3,4,MODEL_BASED,13,405,0,0,0,0,0,0,0,0.0,0.0,130.0,0.0,130.0
492,4,400.0,15,8,3,0.15,400,REFLEX,0.25,0,0.9,3,4,REFLEX,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
501,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,2,0.9,3,4,MODEL_BASED,13,405,0,0,0,0,0,0,0,0.0,0.0,130.0,0.0,130.0
496,4,400.0,15,8,3,0.15,400,REFLEX,0.5,0,0.9,3,4,REFLEX,10,407,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
