RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,presupuesto,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
21,0,400.0,15,8,3,0.15,400,GOVERNED,0.5,5,0.9,5,3,0,GOVERNED,6,305,69,5,34,40,39,18,0,0.025000000000000022,1.0769230769230769,60.0,0.0,60.0
29,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,5,0.9,5,3,1,CLOSED_LOOP,8,226,152,18,49,39,39,3,0,0.0,1.4102564102564104,80.0,0.0,80.0
32,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3,0.9,5,3,1,CLOSED_LOOP,2,208,163,4,91,59,59,13,0,0.0,1.0677966101694916,20.0,0.0,20.0
36,1,400.0,15,8,3,0.15,400,GOVERNED,0.1,3,0.9,5,3,1,GOVERNED,17,372,16,3,1,11,11,9,0,0.0,4.545454545454546,170.0,0.0,170.0
34,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,10,0.9,5,3,1,CLOSED_LOOP,2,208,163,4,91,59,59,13,0,0.0,1.0677966101694916,20.0,0.0,20.0
31,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,25,0.9,5,3,1,CLOSED_LOOP,8,226,152,18,49,39,39,3,0,0.0,1.4102564102564104,80.0,0.0,80.0
28,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3,0.9,5,3,1,CLOSED_LOOP,8,226,152,18,49,39,39,3,0,0.0,1.4102564102564104,80.0,0.0,80.0
38,1,400.0,15,8,3,0.15,400,GOVERNED,0.1,10,0.9,5,3,1,GOVERNED,8,362,31,6,1,6,6,1,0,0.0,3.0,80.0,0.0,80.0
37,1,400.0,15,8,3,0.15,400,GOVERNED,0.1,5,0.9,5,3,1,GOVERNED,8,367,26,5,1,6,6,2,0,0.0,3.0,80.0,0.0,80.0
39,1,400.0,15,8,3,0.15,400,GOVERNED,0.1,25,0.9,5,3,1,GOVERNED,8,362,31,6,1,6,6,1,0,0.0,3.0,80.0,0.0,80.0
35,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,25,0.9,5,3,1,CLOSED_LOOP,2,208,163,4,91,59,59,13,0,0.0,1.0677966101694916,20.0,0.0,20.0
40,1,400.0,15,8,3,0.15,400,GOVERNED,0.25,3,0.9,5,3,1,GOVERNED,17,364,18,3,2,26,24,15,0,0.07692307692307687,2.7083333333333335,170.0,0.0,170.0
41,1,400.0,15,8,3,0.15,400,GOVERNED,0.25,5,0.9,5,3,1,GOVERNED,12,329,51,5,12,32,30,15,0,0.0625,2.0,120.0,0.0,120.0
33,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,5,0.9,5,3,1,CLOSED_LOOP,2,208,163,4,91,59,59,13,0,0.0,1.0677966101694916,20.0,0.0,20.0
30,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,10,0.9,5,3,1,CLOSED_LOOP,8,226,152,18,49,39,39,3,0,0.0,1.4102564102564104,80.0,0.0,80.0
48,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,3,0.9,5,3,2,CLOSED_LOOP,3,365,31,4,7,7,7,0,0,0.0,1.0,30.0,0.0,30.0
44,1,400.0,15,8,3,0.15,400,GOVERNED,0.5,3,0.9,5,3,1,GOVERNED,9,282,76,3,43,59,58,35,0,0.016949152542372836,1.3620689655172413,90.0,0.0,90.0
42,1,400.0,15,8,3,0.15,400,GOVERNED,0.25,10,0.9,5,3,1,GOVERNED,15,296,83,10,23,37,37,11,0,0.0,2.5135135135135136,150.0,0.0,150.0
46,1,400.0,15,8,3,0.15,400,GOVERNED,0.5,10,0.9,5,3,1,GOVERNED,2,208,163,4,91,59,59,13,0,0.0,1.0677966101694916,20.0,0.0,20.0
51,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,25,0.9,5,3,2,CLOSED_LOOP,3,365,31,4,7,7,7,0,0,0.0,1.0,30.0,0.0,30.0
43,1,400.0,15,8,3,0.15,400,GOVERNED,0.25,25,0.9,5,3,1,GOVERNED,8,226,152,18,49,39,39,3,0,0.0,1.4102564102564104,80.0,0.0,80.0
50,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,10,0.9,5,3,2,CLOSED_LOOP,3,365,31,4,7,7,7,0,0,0.0,1.0,30.0,0.0,30.0
49,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,5,0.9,5,3,2,CLOSED_LOOP,3,365,31,4,7,7,7,0,0,0.0,1.0,30.0,0.0,30.0
52,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3,0.9,5,3,2,CLOSED_LOOP,2,265,121,9,50,31,30,3,0,0.032258064516129004,1.6,20.0,0.0,20.0
53,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,5,0.9,5,3,2,CLOSED_LOOP,2,265,121,9,50,31,30,3,0,0.032258064516129004,1.6,20.0,0.0,20.0
